year,rank,artist,song,duration,genre0,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genre11,genre12,genre13,genre14,genre15,genre16
1947,23,Eddy Howard,My Adobe Hacienda,177000,jazz,,,,,,,,,,,,,,,,
1947,24,Hoagy Carmichael,Huggin' And Chalkin',140000,jazz,,,,,,,,,,,,,,,,
1947,25,Hoagy Carmichael,Ole Buttermilk Sky,136000,jazz,,,,,,,,,,,,,,,,
1947,26,The King Cole Trio,I Love You  For Sentimental Reasons,,jazz,ballad,,,,,,,,,,,,,,,
1947,27,Dick Haymes,Mam'selle,186000,jazz,,,,,,,,,,,,,,,,
1947,28,Vaughn Monroe,You Do,192000,jazz,country,,,,,,,,,,,,,,,
1947,29,Guy Lombardo,Anniversary Song,199000,jazz,,,,,,,,,,,,,,,,
1947,30,Bing Crosby,White Christmas,91000,jazz,ballad,blues,soul,,,,,,,,,,,,,
1947,31,Dinah Shore,Anniversary Song,183000,jazz,blues,metal,rock,,,,,,,,,,,,,
1947,32,Mills Brothers,Across The Alley From The Alamo,149000,jazz,,,,,,,,,,,,,,,,
1947,33,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,184000,,,,,,,,,,,,,,,,,
1947,34,Kay Kyser,The Old Lamplighter,199000,jazz,,,,,,,,,,,,,,,,
1947,35,Art Lund,Peg O' My Heart,148000,jazz,,,,,,,,,,,,,,,,
1947,36,Count Basie,"Open The Door, Richard",161000,jazz,blues,funk,rock,soul,alternative,electronic,,,,,,,,,,
1947,37,Margaret Whiting,You Do,169000,jazz,,,,,,,,,,,,,,,,
1947,38,Dorothy Shay,Feudin' And Fightin',162000,,,,,,,,,,,,,,,,,
1947,39,Charlie Spivak,Linda,0,jazz,,,,,,,,,,,,,,,,
1947,40,Guy Lombardo,"Managua, Nicaragua",187000,jazz,,,,,,,,,,,,,,,,
1947,41,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song,185000,,,,,,,,,,,,,,,,,
1947,42,Bing Crosby,The Whiffenpoof Song,158000,jazz,blues,soul,,,,,,,,,,,,,,
1947,43,Vaughn Monroe,How Soon,188000,jazz,country,,,,,,,,,,,,,,,
1947,44,Dusty Fletcher,"Open The Door, Richard",358000,,,,,,,,,,,,,,,,,
1947,45,Eddy Howard,I Love You For Sentimental Reasons,193000,jazz,,,,,,,,,,,,,,,,
1947,46,Peggy Lee,Golden Earrings,182000,jazz,blues,soul,,,,,,,,,,,,,,
1947,47,Kay Kyser,Ole Buttermilk Sky,190000,jazz,,,,,,,,,,,,,,,,
1948,1,Pee Wee Hunt,Twelfth Street Rag,174000,jazz,,,,,,,,,,,,,,,,
1948,2,Peggy Lee,Manana,88000,jazz,blues,soul,,,,,,,,,,,,,,
1948,3,Bing Crosby,Now Is The Hour,187000,jazz,blues,soul,,,,,,,,,,,,,,
1948,4,Margaret Whiting,A Tree In The Meadow,159000,jazz,,,,,,,,,,,,,,,,
1948,5,Jon and Sondra Steele,My Happiness,174000,,,,,,,,,,,,,,,,,
1948,6,Ken Griffin and Jerry Wayne,"You Can't Be True, Dear",153000,,,,,,,,,,,,,,,,,
1948,7,Dick Haymes,Little White Lies,155000,jazz,,,,,,,,,,,,,,,,
1948,8,Al Trace,You Call Everybody Darlin',172000,jazz,,,,,,,,,,,,,,,,
1948,9,The Pied Pipers,My Happiness,169000,jazz,rock,,,,,,,,,,,,,,,
1948,10,Art Mooney,I'm Looking Over A Four Leaf Clover,146000,,,,,,,,,,,,,,,,,
1948,11,Doris Day,It's Magic,204000,jazz,soul,blues,rock,funk,electronic,,,,,,,,,,,
1948,12,Gordon Jenkins,Maybe You'll Be There,194000,jazz,,,,,,,,,,,,,,,,
1948,13,Vaughn Monroe,Ballerina,207000,jazz,country,,,,,,,,,,,,,,,
1948,14,The King Cole Trio,Nature Boy,159000,jazz,ballad,,,,,,,,,,,,,,,
1948,15,Kay Kyser,Woody Woodpecker,184000,jazz,,,,,,,,,,,,,,,,
1948,16,Doris Day and Buddy Clark,Love Somebody,181000,,,,,,,,,,,,,,,,,
1948,17,Gracie Fields,Now Is The Hour,187000,jazz,,,,,,,,,,,,,,,,
1948,18,Francis Craig,Beg Your Pardon,179000,,,,,,,,,,,,,,,,,
1948,19,Ken Griffin,"You Can't Be True, Dear",164000,,,,,,,,,,,,,,,,,
1948,20,The Andrews Sisters,Toolie Oolie Doolie,172000,jazz,soul,dance,,,,,,,,,,,,,,
1948,21,Dinah Shore,Buttons and Bows,123000,jazz,country,blues,metal,rock,,,,,,,,,,,,
1948,22,Peggy Lee,Golden Earrings,182000,jazz,blues,soul,,,,,,,,,,,,,,
1948,23,Art Mooney,Baby Face,142000,,,,,,,,,,,,,,,,,
1948,24,Arthur Godfrey,Too Fat Polka,181000,,,,,,,,,,,,,,,,,
1948,25,Ella Fitzgerald,My Happiness,198000,jazz,blues,soul,r&b,ballad,rock,funk,alternative,folk,,,,,,,,
1948,26,Perry Como,Because,185000,jazz,blues,soul,,,,,,,,,,,,,,
1948,27,Sammy Kaye,Serenade Of The Bells,190000,jazz,,,,,,,,,,,,,,,,
1948,28,Tommy Dorsey,Until,189000,jazz,blues,metal,,,,,,,,,,,,,,
1948,29,Spike Jones,William Tell Overture,206000,jazz,soul,rock,r&b,alternative,,,,,,,,,,,,
1948,30,Frankie Carle,Beg Your Pardon,138000,jazz,,,,,,,,,,,,,,,,
1948,31,Tex Beneke,St. Louis Blues March,204000,jazz,metal,,,,,,,,,,,,,,,
1948,32,Primo Scala,Underneath The Arches,169000,,,,,,,,,,,,,,,,,
1948,33,Kay Kyser,On a Slow Boat to China,196000,jazz,,,,,,,,,,,,,,,,
1948,34,Sportsmen and Mel Blanc,Woody Woodpecker,135000,,,,,,,,,,,,,,,,,
1948,35,Ray Noble,I'll Dance at Your Wedding,0,jazz,,,,,,,,,,,,,,,,
1948,36,Freddy Martin,The Dickey-Bird Song,183000,jazz,,,,,,,,,,,,,,,,
1948,37,Russ Morgan and Milt Herth,I'm Looking Over A Four Leaf Clover,0,,,,,,,,,,,,,,,,,
1948,38,Vaughn Monroe,How Soon,188000,jazz,country,,,,,,,,,,,,,,,
1948,39,Jo Stafford,Serenade Of The Bells,177000,jazz,country,,,,,,,,,,,,,,,
1949,1,Vaughn Monroe,Riders In The Sky,177000,jazz,country,,,,,,,,,,,,,,,
1949,2,Frankie Laine,That Lucky Old Sun,209000,jazz,country,folk,rock,soul,r&b,,,,,,,,,,,
1949,3,Vic Damone,You're Breaking My Heart,206000,jazz,hip-hop,country,,,,,,,,,,,,,,
1949,4,Perry Como,Some Enchanted Evening,208000,jazz,blues,soul,,,,,,,,,,,,,,
1949,5,Jimmy  Wakely and Margaret Whiting,Slipping Around,,,,,,,,,,,,,,,,,,
1949,6,The Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",157000,,,,,,,,,,,,,,,,,
1949,7,Russ Morgan,Cruising Down the River,157000,jazz,,,,,,,,,,,,,,,,
1949,8,Evelyn Knight,A Little Bird Told Me,160000,jazz,,,,,,,,,,,,,,,,
1949,9,Frankie Laine,Mule Train,148000,country,jazz,folk,rock,soul,r&b,,,,,,,,,,,
1949,10,Al Morgan,Jealous Heart,132000,,,,,,,,,,,,,,,,,
1949,11,The Blue Barron,Cruising Down The River,170000,,,,,,,,,,,,,,,,,
1949,12,Vaughn Monroe,Someday,186000,jazz,country,,,,,,,,,,,,,,,
1949,13,Gordon Jenkins,Again,171000,jazz,,,,,,,,,,,,,,,,
1949,14,Russ Morgan,Forever and Ever,168000,jazz,,,,,,,,,,,,,,,,
1949,15,Perry Como,Forever and Ever,200000,jazz,blues,soul,,,,,,,,,,,,,,
1949,16,Gordon Jenkins,"Don't Cry, Joe",192000,jazz,,,,,,,,,,,,,,,,
1949,17,Sammy Kaye,Room Full Of Roses,201000,jazz,,,,,,,,,,,,,,,,
1949,18,Bing Crosby,Far Away Places,178000,jazz,blues,soul,,,,,,,,,,,,,,
1949,19,Dinah Shore,Buttons and Bows,123000,jazz,country,blues,metal,rock,,,,,,,,,,,,
1949,20,Bing Crosby,Galway Bay,183000,jazz,blues,soul,,,,,,,,,,,,,,
1949,21,Vaughn Monroe,Red Roses For A Blue Lady,175000,jazz,country,,,,,,,,,,,,,,,
1949,22,Russ Morgan,So Tired,200000,jazz,,,,,,,,,,,,,,,,
1949,23,Evelyn Knight,Powder Your Face With Sunshine,136000,jazz,,,,,,,,,,,,,,,,
1949,24,Johnny Mercer and Margaret Whiting,"Baby, It's Cold Outside",172000,,,,,,,,,,,,,,,,,
1949,25,Jo Stafford and Gordon MacRae,Whispering Hope,210000,,,,,,,,,,,,,,,,,
1949,26,Sammy Kaye,Careless Hands,170000,jazz,,,,,,,,,,,,,,,,
1949,27,Perry Como and The Fontane Sisters,'A' You're Adorable,144000,,,,,,,,,,,,,,,,,
1949,28,Dick Haymes,Maybe It's Because,202000,jazz,,,,,,,,,,,,,,,,
1949,29,Tommy Dorsey and Charlie Shavers,The Hucklebuck,176000,,,,,,,,,,,,,,,,,
1949,30,Gordon Jenkins,I Don't See Me In Your Eyes Any More,191000,jazz,,,,,,,,,,,,,,,,
1950,1,Gordon Jenkins and The Weavers,Goodnight Irene,203000,,,,,,,,,,,,,,,,,
1950,2,Nat King Cole,Mona Lisa,199000,jazz,ballad,soul,rock,blues,r&b,country,dance,funk,new wave,alternative,hip-hop,,,,,
1950,3,Anton Karas,Third Man Theme,133000,jazz,,,,,,,,,,,,,,,,
1950,4,Gary and Bing Crosby,Sam's Song,175000,,,,,,,,,,,,,,,,,
1950,5,Gary and Bing Crosby,Simple Melody,175000,,,,,,,,,,,,,,,,,
1950,6,Teresa Brewer,"Music, Music, Music",174000,jazz,rock,,,,,,,,,,,,,,,
1950,7,Guy Lombardo,Third Man Theme,166000,jazz,,,,,,,,,,,,,,,,
1950,8,Red Foley,Chattanoogie Shoe Shine Boy,169000,country,rock,jazz,soul,,,,,,,,,,,,,
1950,9,Sammy Kaye,Harbor Lights,202000,jazz,,,,,,,,,,,,,,,,
1950,10,Sammy Kaye and Don Cornell,It Isn't Fair,198000,,,,,,,,,,,,,,,,,
1950,11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake,159000,,,,,,,,,,,,,,,,,
1950,12,Kay Starr,Bonaparte's Retreat,158000,jazz,soul,blues,rock,,,,,,,,,,,,,
1950,13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",163000,,,,,,,,,,,,,,,,,
1950,14,Tony Martin,There's No Tomorrow,161000,metal,rock,blues,country,jazz,soul,,,,,,,,,,,
1950,15,Phil Harris,The Thing,140000,jazz,,,,,,,,,,,,,,,,
1950,16,Ames Brothers,Sentimental Me,196000,jazz,,,,,,,,,,,,,,,,
1950,17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,197000,,,,,,,,,,,,,,,,,
1950,18,Patti Page,Tennessee Waltz,149000,country,jazz,rock,dance,folk,,,,,,,,,,,,
1950,19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I",,,,,,,,,,,,,,,,,,
1950,20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free,157000,,,,,,,,,,,,,,,,,
1950,21,Patti Page,All My Love,183000,jazz,country,folk,,,,,,,,,,,,,,
1950,22,Gordon Jenkins,My Foolish Heart,199000,jazz,,,,,,,,,,,,,,,,
1950,23,Ames Brothers,Rag Mop,158000,jazz,,,,,,,,,,,,,,,,
1950,24,Bill Snyder,Bewitched,168000,,,,,,,,,,,,,,,,,
1950,25,Perry Como,Hoop-Dee-Doo,178000,jazz,blues,soul,,,,,,,,,,,,,,
1950,26,Gordon Jenkins,Bewitched,213000,jazz,,,,,,,,,,,,,,,,
1950,27,Ames Brothers,Can Anyone Explain?,190000,jazz,,,,,,,,,,,,,,,,
1950,28,Billy Eckstine,My Foolish Heart,183000,jazz,ballad,blues,rock,,,,,,,,,,,,,
1950,29,Bing Crosby,Dear Hearts And Gentle People,160000,jazz,blues,soul,,,,,,,,,,,,,,
1950,30,Frankie Laine,Cry Of The Wild Goose,174000,folk,country,jazz,rock,soul,r&b,,,,,,,,,,,
1951,1,Nat King Cole,Too Young,206000,jazz,blues,soul,r&b,rock,ballad,country,dance,funk,new wave,alternative,hip-hop,,,,,
1951,2,Tony Bennett,Because Of You,183000,jazz,blues,soul,rock,r&b,country,funk,,,,,,,,,,
1951,3,Les Paul and Mary Ford,How High The Moon,127000,jazz,,,,,,,,,,,,,,,,
1951,4,Rosemary Clooney,Come On-a My House,119000,jazz,dance,,,,,,,,,,,,,,,
1951,5,Mario Lanza,Be My Love,177000,jazz,,,,,,,,,,,,,,,,
1951,6,Weavers,On Top Of Old Smoky,162000,,,,,,,,,,,,,,,,,
1951,7,Tony Bennett,"Cold, Cold Heart",157000,jazz,blues,soul,rock,r&b,country,funk,,,,,,,,,,
1951,8,Perry Como,If,184000,jazz,blues,soul,,,,,,,,,,,,,,
1951,9,Mario Lanza,Loveliest Night Of The Year,214000,jazz,,,,,,,,,,,,,,,,
1951,10,Patti Page,Tennessee Waltz,149000,country,jazz,rock,dance,folk,,,,,,,,,,,,
1951,11,Frankie Laine,Jezebel,190000,country,jazz,rock,folk,soul,r&b,,,,,,,,,,,
1951,12,Tony Martin,I Get Ideas,160000,metal,rock,blues,country,jazz,soul,,,,,,,,,,,
1951,13,Les Paul and Mary Ford,Mockin' Bird Hill,137000,jazz,,,,,,,,,,,,,,,,
1951,14,Patti Page,Mockin' Bird Hill,180000,jazz,country,folk,,,,,,,,,,,,,,
1951,15,Guy Mitchell and Mitch Miller,My Heart Cries For You,165000,,,,,,,,,,,,,,,,,
1951,16,Eddy Howard,(It's No) Sin,169000,jazz,,,,,,,,,,,,,,,,
1951,17,Vaughn Monroe,Sound Off,167000,jazz,country,,,,,,,,,,,,,,,
1951,18,Dinah Shore,Sweet Violets,169000,jazz,blues,metal,rock,,,,,,,,,,,,,
1951,19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise,132000,jazz,,,,,,,,,,,,,,,,
1951,20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair",169000,,,,,,,,,,,,,,,,,
1951,21,Four Aces and Al Alberta,(It's No) Sin,189000,,,,,,,,,,,,,,,,,
1951,22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon,150000,,,,,,,,,,,,,,,,,
1951,23,Frankie Laine,"Rose, Rose I Love You",152000,country,jazz,folk,rock,soul,r&b,,,,,,,,,,,
1951,24,Del Wood,Down Yonder,164000,rock,dance,country,jazz,,,,,,,,,,,,,
1951,25,Billy Eckstine,I Apologize,175000,jazz,blues,ballad,rock,,,,,,,,,,,,,
1951,26,Patti Page,Would I Love You,178000,jazz,country,folk,,,,,,,,,,,,,,
1951,27,Perry Como and The Fontane Sisters,You're Just In Love,0,,,,,,,,,,,,,,,,,
1951,28,Ames Brothers and Les Brown,Undecided,180000,,,,,,,,,,,,,,,,,
1951,29,Phil Harris,The Thing,140000,jazz,,,,,,,,,,,,,,,,
1951,30,Les Baxter,Because Of You,168000,jazz,dance,electronic,rock,,,,,,,,,,,,,
1952,1,Leroy Anderson,Blue Tango,177000,,,,,,,,,,,,,,,,,
1952,2,Kay Starr,Wheel Of Fortune,186000,jazz,soul,blues,rock,,,,,,,,,,,,,
1952,3,Johnnie Ray,Cry,180000,jazz,rock,country,soul,blues,,,,,,,,,,,,
1952,4,Jo Stafford,You Belong To Me,188000,jazz,country,,,,,,,,,,,,,,,
1952,5,Vera Lynn,"Auf Wiederseh'n, Sweetheart",159000,jazz,ballad,metal,rock,,,,,,,,,,,,,
1952,6,Rosemary Clooney,Half As Much,169000,jazz,,,,,,,,,,,,,,,,
1952,7,Eddie Fisher and Hugo Winterhalter,Wish You Were Here,174000,,,,,,,,,,,,,,,,,
1952,8,Patti Page,I Went To Your Wedding,194000,country,jazz,folk,,,,,,,,,,,,,,
1952,9,Al Martino,Here In My Heart,192000,jazz,country,blues,soul,,,,,,,,,,,,,
